Machine_ID,Machine_Type,Production_Line,Shift,Reading_Timestamp,Asset_Age_Days,Hours_Since_Maintenance,Load_Percent,Vibration_RMS,Temperature_C,Pressure_bar,Motor_Current_A,RPM,Sound_dB,Humidity_%,Failure
37,CNC,LINE04,Night,2025-01-22 21:25:00,1628,221,52.3,2.797,63.66,4.33,12.49,1396,71.57,52.91,0
38,Compressor,LINE01,Swing,2025-03-05 22:13:00,144,269,48.76,1.916,50.05,6.54,18.17,1397,72.77,80.87,0
39,CNC,LINE04,Swing,2025-01-28 20:57:00,2626,600,31.65,2.29,72.05,6.61,16.53,1451,73.54,79.03,0
40,Conveyor,LINE03,Swing,2025-02-17 00:33:00,1286,595,46.61,1.951,72.37,6.94,19.13,1530,74.84,70.42,1
41,Pump,LINE01,Day,2025-04-05 15:17:00,3417,629,90.34,3.218,65.17,8.12,32.32,1548,77.17,69.58,0
42,Conveyor,LINE01,Swing,2025-04-11 11:30:00,3125,333,28.17,1.017,62.78,6.93,21.82,1340,66.89,33.75,1
43,Conveyor,LINE02,Swing,2025-01-05 01:09:00,407,235,96.66,3.595,58.89,5.74,24.41,1742,76.07,47.8,0
44,Pump,LINE02,Swing,2025-02-19 04:01:00,3292,359,28.6,3.083,43.36,5.32,18.68,1355,71.48,41.17,0
45,Conveyor,LINE01,Day,2025-01-03 08:16:00,3467,570,48.96,1.72,62.95,7.0,22.53,1537,75.12,51.37,1
46,Conveyor,LINE04,Swing,2025-01-14 03:14:00,2768,447,68.5,3.379,51.21,6.65,19.04,1483,79.87,36.0,0
47,Pump,LINE01,Swing,2025-01-04 00:07:00,1026,432,87.03,2.682,71.22,6.35,24.08,1516,61.7,47.5,0
48,Pump,LINE04,Day,2025-04-06 15:19:00,2454,312,31.49,2.091,62.1,4.77,17.51,1494,78.1,61.4,0
49,Conveyor,LINE01,Night,2025-03-05 10:03:00,3172,501,31.29,2.683,56.14,5.18,15.7,1598,71.65,39.14,0
50,CNC,LINE04,Swing,2025-01-26 13:12:00,2982,624,70.27,1.879,60.74,6.9,25.57,1527,67.68,35.82,0
51,CNC,LINE01,Day,2025-02-26 17:19:00,1590,480,43.42,2.167,63.56,3.59,9.57,1378,69.87,68.87,0
52,CNC,LINE02,Day,2025-03-28 19:36:00,2591,290,71.56,2.894,60.65,3.41,19.85,1671,67.16,43.58,0
53,Conveyor,LINE03,Swing,2025-02-03 16:58:00,1426,604,85.65,2.814,57.85,7.19,24.59,1581,74.82,56.3,1
54,Conveyor,LINE01,Day,2025-02-22 03:26:00,950,678,26.15,0.934,42.06,5.12,21.2,1423,66.45,76.11,0
55,Conveyor,LINE04,Night,2025-01-18 01:02:00,2465,573,87.56,3.323,68.9,6.94,25.23,1648,78.48,50.82,0
56,Conveyor,LINE01,Day,2025-01-27 04:58:00,1717,631,23.01,2.535,56.59,7.62,14.1,1435,75.65,35.42,0
57,Compressor,LINE02,Day,2025-01-27 07:50:00,843,191,91.91,2.959,82.65,5.2,21.91,1829,73.47,73.19,1
58,Compressor,LINE02,Day,2025-01-12 22:25:00,2421,303,98.05,3.063,60.91,4.48,25.41,1546,62.19,70.62,0
59,CNC,LINE03,Swing,2025-04-08 07:27:00,1194,179,73.4,4.138,60.76,5.9,27.04,1635,66.14,63.56,1
60,CNC,LINE01,Night,2025-04-10 05:05:00,2157,263,98.74,2.591,64.24,5.67,27.73,1601,71.81,59.59,0
61,Conveyor,LINE01,Night,2025-03-05 05:57:00,1338,528,85.76,3.21,66.08,6.33,25.77,1574,72.3,71.37,0
62,Compressor,LINE01,Swing,2025-01-27 06:16:00,3234,487,23.55,2.433,45.55,6.38,18.62,1354,76.85,49.43,1
63,Compressor,LINE02,Night,2025-01-06 10:33:00,3109,2,20.3,3.414,50.82,6.1,13.65,1348,57.93,48.13,0
64,Conveyor,LINE01,Day,2025-04-29 14:03:00,1745,543,21.66,2.118,59.85,5.77,11.07,1453,68.25,64.51,0
65,Compressor,LINE04,Swing,2025-02-22 21:43:00,2601,138,56.15,2.978,53.49,7.33,19.45,1358,76.53,39.15,0
66,Compressor,LINE02,Night,2025-03-04 17:13:00,674,133,69.87,2.645,64.1,7.0,22.76,1421,70.54,64.83,0
67,Compressor,LINE03,Day,2025-03-02 05:19:00,3640,391,58.52,2.278,57.97,5.87,19.9,1469,69.76,77.69,0
68,Pump,LINE02,Night,2025-03-29 06:25:00,806,173,74.17,1.918,61.63,7.0,22.77,1647,63.91,58.33,1
69,CNC,LINE01,Day,2025-02-22 06:33:00,3168,693,55.97,2.591,67.0,4.2,18.03,1472,77.5,34.56,0
70,Pump,LINE02,Day,2025-03-09 22:49:00,3092,105,23.41,2.824,50.3,7.01,15.64,1405,69.86,66.46,0
71,CNC,LINE01,Swing,2025-04-02 23:08:00,675,109,38.09,2.005,42.28,5.91,22.74,1299,77.47,77.81,0
72,Pump,LINE02,Night,2025-04-30 18:58:00,61,547,99.41,2.507,60.44,5.05,25.08,1752,79.51,40.83,1
73,RobotArm,LINE02,Day,2025-03-26 05:03:00,2698,206,47.67,3.338,48.73,5.48,18.76,1578,79.05,63.67,0
74,CNC,LINE02,Night,2025-01-29 17:46:00,3176,514,45.98,1.419,39.05,7.2,16.99,1588,71.63,40.84,1
75,CNC,LINE04,Day,2025-01-24 02:20:00,2623,490,32.22,1.487,53.48,4.9,22.32,1240,69.4,75.08,0
76,Pump,LINE01,Swing,2025-02-16 23:28:00,231,136,98.97,1.169,62.88,6.98,25.64,1590,68.95,43.91,0
77,Pump,LINE02,Swing,2025-04-09 03:29:00,2366,417,38.44,3.018,63.03,6.94,21.38,1314,82.2,64.62,0
78,Conveyor,LINE01,Day,2025-04-16 22:07:00,1447,386,71.75,2.505,49.65,6.25,20.19,1586,71.12,62.41,1
79,Compressor,LINE02,Swing,2025-02-25 02:30:00,3344,68,23.36,2.891,52.72,4.7,14.07,1435,77.58,50.61,0
80,Conveyor,LINE03,Swing,2025-01-23 23:32:00,2926,550,25.32,2.171,62.71,5.68,18.15,1463,74.47,79.53,0
81,Conveyor,LINE01,Swing,2025-03-20 15:08:00,2922,617,77.34,3.63,55.53,4.58,28.51,1419,70.51,79.57,0
82,Pump,LINE03,Day,2025-03-17 11:31:00,1505,681,70.81,2.487,63.83,5.62,17.24,1367,70.91,48.7,0
83,Conveyor,LINE02,Day,2025-01-17 06:46:00,1195,63,74.41,2.786,70.9,4.92,21.08,1422,78.19,49.14,0
84,CNC,LINE01,Night,2025-04-18 14:51:00,3006,128,38.48,2.612,39.1,5.83,26.01,1464,72.37,66.02,1
85,CNC,LINE04,Swing,2025-04-24 19:24:00,446,594,98.79,2.921,64.82,4.96,21.12,1519,70.05,45.62,1
86,CNC,LINE02,Night,2025-04-30 00:13:00,393,219,64.67,3.204,66.72,6.25,18.7,1510,68.39,46.71,0
87,Conveyor,LINE03,Swing,2025-03-05 22:59:00,254,450,97.56,1.677,59.25,7.84,16.63,1422,73.49,31.13,0
88,Compressor,LINE02,Night,2025-04-07 00:08:00,1881,250,33.13,2.051,64.82,7.27,20.36,1415,69.44,35.17,0
89,CNC,LINE04,Day,2025-01-04 16:35:00,303,156,52.41,2.106,60.83,4.53,15.06,1622,75.01,66.19,0
90,Compressor,LINE01,Swing,2025-01-09 09:43:00,2138,449,46.85,2.391,70.12,5.17,13.14,1484,84.86,47.64,0
91,CNC,LINE02,Swing,2025-01-01 22:07:00,635,147,80.41,2.251,63.75,7.33,17.06,1558,74.68,34.47,0
92,Conveyor,LINE03,Day,2025-03-10 03:15:00,3254,98,79.81,2.815,73.69,7.14,24.27,1558,81.31,81.16,0
93,Pump,LINE02,Day,2025-02-23 01:20:00,1595,381,58.92,3.326,59.61,5.35,13.58,1406,68.89,46.26,0
94,Pump,LINE02,Swing,2025-03-24 10:52:00,368,139,21.29,1.494,41.03,5.13,9.74,1588,75.24,41.5,0
95,Pump,LINE04,Night,2025-01-27 01:36:00,2541,138,34.02,3.733,48.45,5.94,20.84,1461,78.88,58.73,0
96,Compressor,LINE03,Swing,2025-02-06 16:28:00,1255,561,24.02,2.116,61.71,3.54,16.13,1419,78.94,75.69,1
97,Pump,LINE03,Day,2025-02-10 23:50:00,977,380,87.76,2.512,68.66,7.01,18.22,1608,78.58,77.99,0
98,CNC,LINE03,Night,2025-03-23 06:26:00,2416,390,43.18,2.708,52.87,7.23,18.02,1549,72.33,46.78,0
99,CNC,LINE04,Day,2025-02-09 10:45:00,3489,103,29.43,2.504,67.28,5.33,26.09,1259,76.63,70.82,0
100,RobotArm,LINE04,Day,2025-04-20 06:29:00,3577,115,48.33,3.549,52.31,4.28,26.05,1453,67.45,58.77,0
101,RobotArm,LINE03,Night,2025-01-30 14:23:00,1606,281,26.18,1.219,56.68,7.46,16.53,1671,79.76,62.74,0
102,Conveyor,LINE01,Swing,2025-03-19 13:31:00,3100,279,98.31,2.294,65.11,6.75,28.21,1745,67.34,54.2,0
103,Pump,LINE01,Night,2025-01-30 08:46:00,787,325,45.2,2.216,44.76,6.8,18.34,1428,78.35,39.75,0
104,RobotArm,LINE03,Night,2025-03-01 05:48:00,3094,96,94.65,3.82,59.76,4.86,17.52,1627,77.85,75.12,0
105,Conveyor,LINE04,Swing,2025-03-13 04:59:00,3440,646,74.62,3.276,78.93,4.67,15.34,1460,77.63,59.93,0
106,Conveyor,LINE02,Day,2025-04-02 01:25:00,1902,261,65.29,2.983,50.24,6.65,17.14,1523,82.67,52.1,0
107,Pump,LINE01,Day,2025-04-23 13:36:00,1923,587,58.04,2.792,62.73,7.31,13.84,1411,77.54,67.14,0
108,Pump,LINE01,Night,2025-02-05 14:35:00,2072,288,74.99,1.88,49.63,4.89,22.91,1443,65.32,53.41,0
109,CNC,LINE02,Night,2025-04-04 08:18:00,294,339,74.9,2.491,51.54,6.13,17.84,1429,75.12,76.7,0
110,RobotArm,LINE04,Day,2025-03-22 04:44:00,3138,80,20.84,3.012,40.43,3.8,19.72,1594,62.91,37.46,0
111,Compressor,LINE01,Day,2025-04-02 21:28:00,2700,487,92.62,3.292,69.1,5.58,25.8,1478,72.0,31.65,1
112,CNC,LINE03,Day,2025-03-02 19:24:00,3178,43,49.44,1.875,48.09,5.69,23.39,1586,69.84,61.32,0
113,Pump,LINE03,Day,2025-01-28 21:24:00,447,538,48.26,1.76,66.55,6.57,14.07,1395,75.11,44.13,0
114,Compressor,LINE04,Night,2025-03-15 07:36:00,2934,634,52.53,2.98,52.95,3.5,22.72,1390,68.23,36.5,0
115,CNC,LINE01,Day,2025-02-16 20:03:00,1343,260,74.82,3.66,59.78,7.83,17.26,1546,68.62,31.67,0
116,RobotArm,LINE04,Day,2025-02-28 20:32:00,2993,639,50.08,1.451,60.22,5.8,23.35,1294,74.31,72.37,0
117,Conveyor,LINE03,Night,2025-01-21 09:41:00,3627,503,49.91,2.997,43.56,7.55,26.01,1530,78.22,82.79,0
118,Conveyor,LINE03,Swing,2025-02-19 18:57:00,3214,1,25.08,1.745,53.64,6.59,21.36,1384,71.92,63.87,0
119,Pump,LINE01,Swing,2025-03-15 21:59:00,3344,146,53.33,3.066,58.64,7.06,20.44,1391,83.99,72.49,0
120,Compressor,LINE02,Day,2025-01-07 05:15:00,441,461,31.96,2.067,63.34,8.24,18.58,1322,70.31,76.12,0
121,Compressor,LINE03,Day,2025-02-12 05:51:00,1219,505,88.45,2.617,53.45,5.45,16.05,1763,75.61,74.3,0
122,Compressor,LINE02,Day,2025-03-16 14:36:00,1089,67,46.76,2.478,48.28,6.13,11.26,1439,73.87,47.97,0
123,CNC,LINE02,Day,2025-02-26 13:41:00,1889,492,96.87,3.734,67.38,5.28,25.47,1535,70.89,30.13,1
124,Pump,LINE03,Day,2025-04-28 06:24:00,3563,583,74.76,3.038,71.02,6.12,28.52,1604,78.92,64.55,0
125,CNC,LINE03,Day,2025-04-21 19:59:00,2512,66,80.49,2.158,54.12,7.17,17.83,1410,67.6,82.12,0
126,Compressor,LINE01,Day,2025-02-12 12:09:00,2002,633,95.82,3.918,52.52,7.81,23.69,1678,62.29,78.81,1
127,Pump,LINE02,Day,2025-04-28 05:17:00,2944,383,39.11,2.945,52.31,5.43,21.22,1424,71.7,30.26,0
128,CNC,LINE01,Night,2025-03-16 23:05:00,668,443,65.38,2.611,50.07,4.71,17.09,1315,70.93,79.73,0
129,CNC,LINE04,Day,2025-02-09 06:30:00,2421,36,23.26,1.665,55.08,5.82,16.16,1333,77.2,30.6,0
130,Compressor,LINE04,Day,2025-03-28 20:05:00,1851,441,28.06,2.6,45.05,4.76,19.83,1275,65.96,59.23,0
131,CNC,LINE01,Night,2025-01-14 10:13:00,765,327,49.33,3.282,63.68,5.3,18.64,1458,75.07,76.9,0
132,RobotArm,LINE01,Day,2025-03-14 10:44:00,2367,267,74.6,2.763,60.45,7.05,22.53,1404,74.28,52.88,0
133,Compressor,LINE01,Swing,2025-04-21 01:48:00,3072,561,86.54,3.248,69.1,6.95,19.93,1415,74.05,67.61,1
134,Pump,LINE02,Night,2025-04-19 00:40:00,3028,179,40.51,1.851,35.01,6.91,19.55,1466,77.17,42.79,0
135,Compressor,LINE04,Swing,2025-01-14 01:06:00,3082,43,79.93,2.663,44.65,5.89,21.68,1515,72.11,83.36,0
136,CNC,LINE02,Day,2025-04-22 20:05:00,2970,359,37.94,1.792,64.97,7.09,18.01,1571,72.19,32.42,0
137,RobotArm,LINE01,Swing,2025-02-16 00:52:00,1727,535,20.48,1.943,47.31,5.72,14.4,1531,74.23,64.77,0
138,Compressor,LINE01,Swing,2025-04-15 13:02:00,208,96,24.35,1.338,40.48,5.4,15.29,1406,71.26,31.91,0
139,Conveyor,LINE01,Day,2025-03-06 05:40:00,3524,708,66.84,3.232,57.52,4.85,19.07,1544,65.66,32.3,0
140,CNC,LINE04,Day,2025-02-20 11:23:00,1671,484,59.77,1.904,59.56,3.59,20.1,1301,69.91,44.87,1
141,Compressor,LINE03,Day,2025-02-24 22:18:00,2320,672,41.63,2.229,54.75,4.04,17.61,1517,70.79,30.84,0
142,Compressor,LINE03,Night,2025-01-17 19:18:00,104,338,20.52,0.887,56.22,5.96,11.22,1440,68.8,41.4,0
143,RobotArm,LINE02,Day,2025-03-26 14:50:00,3247,88,65.44,3.031,59.78,5.07,14.34,1595,70.78,38.47,1
144,Compressor,LINE04,Day,2025-02-18 01:34:00,3245,127,85.41,2.238,61.87,4.38,27.72,1484,72.98,80.16,0
145,Compressor,LINE02,Swing,2025-02-06 08:06:00,3390,360,25.48,2.446,63.92,5.25,21.67,1365,70.79,32.28,0
146,Pump,LINE04,Night,2025-03-04 18:12:00,659,423,78.92,2.306,59.63,6.62,17.54,1473,76.38,63.65,0
147,Pump,LINE04,Day,2025-02-08 08:08:00,3081,528,70.76,3.065,58.73,6.71,25.18,1664,76.72,66.88,0
148,Compressor,LINE02,Day,2025-01-06 02:12:00,2292,572,58.35,1.582,64.14,6.05,16.44,1501,59.96,75.16,1
149,Pump,LINE04,Day,2025-04-04 00:36:00,558,549,23.87,2.015,57.93,5.67,14.48,1218,64.84,50.21,0
150,CNC,LINE01,Swing,2025-04-11 14:19:00,2095,423,93.89,2.878,54.31,5.79,21.42,1615,60.28,39.99,0
151,Conveyor,LINE03,Swing,2025-04-14 10:16:00,1754,12,58.2,2.567,55.28,6.84,18.88,1411,70.83,36.7,0
152,RobotArm,LINE01,Night,2025-04-17 06:46:00,2294,381,51.97,1.356,59.89,5.81,22.56,1584,70.09,37.84,1
153,CNC,LINE02,Day,2025-01-07 23:23:00,332,589,88.92,1.796,56.74,6.3,19.73,1592,72.68,58.82,0
154,Compressor,LINE01,Day,2025-03-17 20:36:00,2069,610,87.65,2.723,57.03,7.62,21.6,1674,76.47,62.82,0
155,CNC,LINE01,Day,2025-01-24 14:44:00,2482,600,78.18,3.744,49.05,7.23,25.49,1631,72.4,73.36,0
156,Conveyor,LINE01,Day,2025-03-11 14:51:00,2620,7,86.35,3.392,36.32,6.14,23.64,1635,69.47,74.25,0
157,Pump,LINE02,Swing,2025-04-26 15:25:00,2814,313,29.95,2.356,50.54,5.41,16.14,1546,72.1,76.35,0
158,Conveyor,LINE03,Swing,2025-02-16 11:35:00,2296,444,80.87,2.358,61.06,5.91,23.54,1610,69.66,38.78,0
159,Conveyor,LINE02,Day,2025-03-02 08:10:00,2568,178,46.24,1.797,46.32,3.54,23.7,1359,64.54,70.99,0
160,Conveyor,LINE02,Swing,2025-04-28 08:35:00,356,294,89.4,2.721,71.63,7.71,25.63,1392,77.04,34.0,0
161,CNC,LINE04,Day,2025-03-18 06:42:00,2918,70,49.62,3.019,46.79,5.17,15.09,1350,74.48,78.43,0
162,RobotArm,LINE04,Swing,2025-02-22 08:12:00,1357,139,24.34,1.955,59.64,6.77,11.45,1486,79.23,58.89,0
163,CNC,LINE01,Day,2025-04-26 19:38:00,2012,4,53.15,3.451,58.74,6.08,23.79,1189,66.32,65.28,1
164,CNC,LINE02,Swing,2025-01-25 17:45:00,2008,705,80.54,2.426,78.19,7.98,21.11,1509,64.08,64.09,1
165,Compressor,LINE03,Day,2025-02-23 19:04:00,3563,618,60.07,3.024,62.38,6.74,13.17,1438,67.68,60.69,0
166,Pump,LINE03,Night,2025-04-26 07:32:00,1207,290,81.09,1.627,48.03,7.41,18.59,1659,73.86,58.78,0
167,Conveyor,LINE02,Night,2025-03-26 05:44:00,1421,3,22.82,1.949,60.18,5.02,14.72,1382,76.28,80.72,0
168,Conveyor,LINE03,Night,2025-04-11 05:46:00,2782,241,34.17,3.215,67.4,4.3,17.61,1374,73.86,49.16,1
169,Pump,LINE01,Night,2025-02-01 12:48:00,2326,312,65.09,2.058,43.57,6.33,24.24,1638,72.74,72.83,0
170,RobotArm,LINE02,Day,2025-02-09 06:32:00,1180,121,50.83,2.688,60.58,3.71,15.04,1441,76.51,49.91,0
171,Pump,LINE03,Swing,2025-02-24 10:36:00,1276,476,74.41,3.425,66.24,5.68,24.72,1468,70.2,32.52,0
172,Compressor,LINE03,Day,2025-03-09 00:04:00,3029,718,97.0,2.923,61.09,5.04,25.9,1485,77.61,50.79,1
173,Pump,LINE04,Night,2025-03-12 13:23:00,3055,607,72.79,3.261,40.18,5.22,17.46,1530,82.37,38.3,0
174,RobotArm,LINE01,Day,2025-03-12 05:26:00,561,616,53.39,3.014,54.89,6.75,17.09,1417,67.04,54.23,0
175,CNC,LINE01,Day,2025-01-26 00:20:00,1477,598,63.39,2.583,53.75,6.77,22.16,1437,70.93,34.51,0
176,CNC,LINE01,Swing,2025-04-16 06:04:00,2815,50,93.03,3.696,72.55,6.24,24.35,1710,65.64,73.2,1
177,Pump,LINE01,Day,2025-04-09 16:40:00,459,397,73.84,1.283,58.34,6.62,21.62,1504,66.92,62.5,0
178,RobotArm,LINE01,Swing,2025-03-07 16:59:00,694,407,84.25,2.921,57.03,5.69,18.93,1465,74.28,32.08,0
179,RobotArm,LINE02,Day,2025-01-16 06:16:00,603,72,44.12,2.248,49.82,8.85,19.79,1319,63.66,65.5,0
180,Conveyor,LINE02,Swing,2025-02-20 04:13:00,1941,106,79.55,2.008,61.47,6.66,20.51,1533,68.1,82.51,0
181,RobotArm,LINE03,Night,2025-02-12 00:39:00,1662,406,31.15,1.429,54.41,5.1,27.65,1345,77.07,33.48,1
182,RobotArm,LINE02,Swing,2025-03-13 00:27:00,1190,515,79.98,2.985,53.82,7.35,16.11,1466,73.46,49.62,0
183,Compressor,LINE01,Day,2025-02-15 01:30:00,522,150,90.52,2.432,62.43,7.89,32.46,1429,75.99,79.21,0
184,Pump,LINE03,Day,2025-04-27 16:21:00,2337,348,92.02,3.757,56.63,5.49,19.81,1558,66.15,31.84,0
185,Conveyor,LINE01,Day,2025-03-16 00:13:00,2952,54,29.33,2.489,31.94,4.09,23.68,1252,72.51,80.52,0
186,Conveyor,LINE04,Day,2025-01-07 06:33:00,800,79,86.39,2.655,64.95,4.9,24.88,1572,81.66,84.38,0
187,Pump,LINE01,Swing,2025-02-01 02:53:00,2442,417,28.79,2.065,58.29,4.98,14.4,1342,68.71,51.45,0
188,CNC,LINE02,Day,2025-03-19 15:44:00,2909,401,58.27,2.902,58.79,6.02,23.55,1553,69.88,55.57,0
189,Conveyor,LINE04,Day,2025-01-20 18:00:00,2046,540,74.6,3.237,56.03,4.29,19.78,1557,75.34,84.35,0
190,Pump,LINE03,Day,2025-01-10 21:12:00,2106,655,58.74,2.853,57.44,5.59,21.49,1480,67.8,33.29,0
191,RobotArm,LINE03,Night,2025-03-03 16:44:00,633,136,47.19,1.737,61.63,5.72,18.47,1546,75.49,47.5,0
192,CNC,LINE03,Day,2025-02-01 12:52:00,3495,245,74.71,3.863,53.65,6.64,21.82,1686,63.67,33.49,0
193,CNC,LINE01,Day,2025-01-03 10:58:00,3492,616,72.87,3.486,66.47,6.96,21.32,1648,60.39,71.05,0
194,Conveyor,LINE03,Swing,2025-03-25 11:50:00,2606,36,66.63,3.007,45.3,6.65,22.97,1326,73.92,65.82,0
195,CNC,LINE04,Day,2025-03-29 03:25:00,3297,596,62.27,2.938,59.61,8.27,18.29,1402,67.43,77.49,0
196,CNC,LINE04,Night,2025-03-27 05:07:00,2228,680,76.46,3.129,60.42,7.58,18.64,1445,69.57,40.46,0
197,Compressor,LINE02,Day,2025-01-12 05:34:00,2423,71,52.24,1.415,63.5,6.29,23.94,1531,76.18,59.98,1
198,RobotArm,LINE02,Swing,2025-04-11 00:54:00,3031,102,25.5,2.41,45.01,4.59,20.04,1338,75.26,69.22,0
199,CNC,LINE03,Swing,2025-01-11 17:08:00,168,492,63.0,3.096,51.56,5.32,13.61,1409,66.25,45.5,0
200,Pump,LINE02,Night,2025-03-06 20:53:00,825,342,77.88,2.631,48.22,4.56,16.82,1418,74.82,78.93,0
201,Conveyor,LINE01,Swing,2025-04-25 18:53:00,766,711,43.93,2.026,51.87,6.12,9.17,1474,70.51,40.88,0
202,RobotArm,LINE01,Swing,2025-04-07 05:42:00,2320,392,31.26,1.816,55.97,6.21,21.77,1489,74.02,36.5,0
203,Compressor,LINE01,Day,2025-04-23 23:22:00,907,471,92.95,3.042,47.18,7.5,25.03,1391,72.26,45.45,0
204,CNC,LINE02,Swing,2025-03-02 09:10:00,1443,170,89.1,2.705,56.66,6.71,18.11,1466,64.73,73.87,0
205,CNC,LINE01,Swing,2025-02-21 01:16:00,1817,233,69.47,3.407,62.92,7.46,23.67,1262,68.93,69.28,1
206,CNC,LINE01,Swing,2025-01-25 04:37:00,2722,127,82.93,2.531,58.51,7.62,31.13,1229,60.13,79.01,1
207,CNC,LINE01,Swing,2025-04-29 19:40:00,1903,105,97.5,2.792,61.62,5.24,17.52,1603,73.2,63.92,0
208,Conveyor,LINE04,Day,2025-02-23 10:50:00,118,81,65.54,1.777,45.06,5.53,16.56,1519,73.91,80.5,0
