Machine_ID,Vibration_RMS,Temperature_C,Motor_Current_A,Hours_Since_Maintenance,Asset_Age_Days,Load_Percent,Pressure_bar,Sound_dB,Humidity_%,Vib_Temp_Interaction,Failure_Risk_Score,Failure
153,1.796,56.74,19.73,589,332,88.92,6.3,72.68,58.82,101.90504,1,0
154,2.723,57.03,21.6,610,2069,87.65,7.62,76.47,62.82,155.29269,2,0
155,3.744,49.05,25.49,600,2482,78.18,7.23,72.4,73.36,183.6432,3,0
156,3.392,36.32,23.64,7,2620,86.35,6.14,69.47,74.25,123.19744,1,0
157,2.356,50.54,16.14,313,2814,29.95,5.41,72.1,76.35,119.07224,1,0
158,2.358,61.06,23.54,444,2296,80.87,5.91,69.66,38.78,143.97948000000002,2,0
159,1.797,46.32,23.7,178,2568,46.24,3.54,64.54,70.99,83.23704,1,0
160,2.721,71.63,25.63,294,356,89.4,7.71,77.04,34.0,194.90523,0,0
161,3.019,46.79,15.09,70,2918,49.62,5.17,74.48,78.43,141.25901,1,0
162,1.955,59.64,11.45,139,1357,24.34,6.77,79.23,58.89,116.59620000000001,0,0
163,3.451,58.74,23.79,4,2012,53.15,6.08,66.32,65.28,202.71174000000002,1,1
164,2.426,78.19,21.11,705,2008,80.54,7.98,64.08,64.09,189.68894,3,1
165,3.024,62.38,13.17,618,3563,60.07,6.74,67.68,60.69,188.63712,2,0
166,1.627,48.03,18.59,290,1207,81.09,7.41,73.86,58.78,78.14481,0,0
167,1.949,60.18,14.72,3,1421,22.82,5.02,76.28,80.72,117.29082,0,0
168,3.215,67.4,17.61,241,2782,34.17,4.3,73.86,49.16,216.691,1,1
169,2.058,43.57,24.24,312,2326,65.09,6.33,72.74,72.83,89.66705999999999,1,0
170,2.688,60.58,15.04,121,1180,50.83,3.71,76.51,49.91,162.83904,0,0
171,3.425,66.24,24.72,476,1276,74.41,5.68,70.2,32.52,226.87199999999996,1,0
172,2.923,61.09,25.9,718,3029,97.0,5.04,77.61,50.79,178.56607000000002,2,1
173,3.261,40.18,17.46,607,3055,72.79,5.22,82.37,38.3,131.02698,2,0
174,3.014,54.89,17.09,616,561,53.39,6.75,67.04,54.23,165.43846,1,0
175,2.583,53.75,22.16,598,1477,63.39,6.77,70.93,34.51,138.83625,1,0
176,3.696,72.55,24.35,50,2815,93.03,6.24,65.64,73.2,268.1448,2,1
177,1.283,58.34,21.62,397,459,73.84,6.62,66.92,62.5,74.85022,0,0
178,2.921,57.03,18.93,407,694,84.25,5.69,74.28,32.08,166.58463,1,0
179,2.248,49.82,19.79,72,603,44.12,8.85,63.66,65.5,111.99536,0,0
180,2.008,61.47,20.51,106,1941,79.55,6.66,68.1,82.51,123.43176,0,0
181,1.429,54.41,27.65,406,1662,31.15,5.1,77.07,33.48,77.75189,1,1
182,2.985,53.82,16.11,515,1190,79.98,7.35,73.46,49.62,160.65269999999998,1,0
183,2.432,62.43,32.46,150,522,90.52,7.89,75.99,79.21,151.82976,1,0
184,3.757,56.63,19.81,348,2337,92.02,5.49,66.15,31.84,212.75891000000001,2,0
185,2.489,31.94,23.68,54,2952,29.33,4.09,72.51,80.52,79.49866,1,0
186,2.655,64.95,24.88,79,800,86.39,4.9,81.66,84.38,172.44225,0,0
187,2.065,58.29,14.4,417,2442,28.79,4.98,68.71,51.45,120.36885,2,0
188,2.902,58.79,23.55,401,2909,58.27,6.02,69.88,55.57,170.60858000000002,2,0
189,3.237,56.03,19.78,540,2046,74.6,4.29,75.34,84.35,181.36911,2,0
190,2.853,57.44,21.49,655,2106,58.74,5.59,67.8,33.29,163.87632,2,0
191,1.737,61.63,18.47,136,633,47.19,5.72,75.49,47.5,107.05131000000002,0,0
192,3.863,53.65,21.82,245,3495,74.71,6.64,63.67,33.49,207.24994999999998,2,0
193,3.486,66.47,21.32,616,3492,72.87,6.96,60.39,71.05,231.71442000000002,2,0
194,3.007,45.3,22.97,36,2606,66.63,6.65,73.92,65.82,136.2171,1,0
195,2.938,59.61,18.29,596,3297,62.27,8.27,67.43,77.49,175.13418000000001,2,0
196,3.129,60.42,18.64,680,2228,76.46,7.58,69.57,40.46,189.05418,2,0
197,1.415,63.5,23.94,71,2423,52.24,6.29,76.18,59.98,89.8525,1,1
198,2.41,45.01,20.04,102,3031,25.5,4.59,75.26,69.22,108.4741,1,0
199,3.096,51.56,13.61,492,168,63.0,5.32,66.25,45.5,159.62976,1,0
200,2.631,48.22,16.82,342,825,77.88,4.56,74.82,78.93,126.86681999999999,0,0
201,2.026,51.87,9.17,711,766,43.93,6.12,70.51,40.88,105.08861999999998,1,0
202,1.816,55.97,21.77,392,2320,31.26,6.21,74.02,36.5,101.64152,1,0
203,3.042,47.18,25.03,471,907,92.95,7.5,72.26,45.45,143.52156,1,0
204,2.705,56.66,18.11,170,1443,89.1,6.71,64.73,73.87,153.2653,0,0
205,3.407,62.92,23.67,233,1817,69.47,7.46,68.93,69.28,214.36844000000002,0,1
206,2.531,58.51,31.13,127,2722,82.93,7.62,60.13,79.01,148.08881,2,1
207,2.792,61.62,17.52,105,1903,97.5,5.24,73.2,63.92,172.04304,0,0
208,1.777,45.06,16.56,81,118,65.54,5.53,73.91,80.5,80.07162,0,0
209,3.448,54.87,12.83,642,2515,39.53,5.88,68.98,59.88,189.19176,2,0
210,2.472,57.91,24.77,50,1578,71.1,5.36,71.59,80.51,143.15352,0,0
211,2.304,59.98,21.44,371,440,93.17,6.14,67.24,77.86,138.19392,0,1
212,1.596,60.34,20.57,365,2389,75.21,6.61,78.14,56.04,96.30264000000001,1,0
213,1.162,49.3,16.91,40,1008,22.1,5.57,65.28,30.36,57.28659999999999,0,0
214,3.267,58.37,20.87,606,1697,93.37,6.43,70.89,84.22,190.69478999999998,1,1
215,3.527,51.4,22.15,360,3532,80.29,5.17,66.04,57.34,181.2878,2,0
216,1.739,63.33,19.68,91,891,52.15,6.63,73.08,70.75,110.13087,0,0
217,3.061,51.34,22.7,92,3234,99.0,7.01,77.56,54.88,157.15174000000002,1,0
218,3.834,61.1,19.83,504,1710,77.73,5.36,62.26,49.91,234.25740000000002,2,1
219,4.885,75.17,23.52,446,3405,86.04,4.81,76.28,49.7,367.20545,4,0
220,4.023,70.16,25.06,297,3106,95.45,7.93,80.87,49.54,282.25368,2,0
221,3.169,56.73,20.53,291,3042,23.17,7.83,73.05,61.87,179.77737,1,0
222,3.612,60.91,23.49,25,778,81.95,6.6,69.19,74.43,220.00691999999998,1,0
223,3.94,54.15,14.48,22,2892,50.91,5.58,72.49,61.3,213.351,2,0
224,2.626,53.69,28.05,385,1359,89.53,7.65,69.49,58.93,140.98994,1,1
225,2.784,58.59,24.69,261,3324,90.31,6.97,82.1,46.86,163.11456,1,0
226,4.423,64.5,23.05,181,3615,86.29,6.11,77.02,55.46,285.2835,2,0
227,2.342,62.81,19.04,272,2244,82.34,7.49,76.62,39.89,147.10102,1,0
228,2.594,66.64,31.81,435,3334,83.54,5.36,82.98,70.96,172.86416,3,0
229,1.667,64.64,28.33,211,1960,43.72,5.11,78.61,73.07,107.75488,1,0
230,1.872,54.79,25.34,251,152,52.52,6.46,71.35,43.12,102.56688,0,0
231,1.171,54.65,19.31,203,3193,29.2,5.93,71.84,61.19,63.99515,1,0
232,2.049,45.62,24.11,479,1949,86.45,7.13,83.82,45.66,93.47537999999999,1,0
233,1.874,75.77,25.6,39,189,71.68,7.65,68.26,83.76,141.99298,1,0
234,1.509,55.95,18.51,661,266,69.02,4.33,70.97,46.44,84.42855,1,1
235,3.02,60.17,21.38,399,2648,39.69,5.94,67.29,77.52,181.7134,1,0
236,3.011,54.52,23.51,176,3374,69.2,8.47,63.26,68.52,164.15972000000002,1,0
237,2.955,53.9,28.3,546,2554,56.36,5.35,67.94,83.11,159.2745,3,0
238,3.307,61.09,29.34,676,1628,99.62,5.64,68.16,69.57,202.02463,2,0
239,2.622,49.85,21.6,41,1141,89.05,3.7,69.09,63.5,130.7067,0,0
240,3.035,37.05,26.23,147,1544,62.08,6.24,75.42,55.32,112.44675,0,0
241,2.966,68.75,21.8,103,1198,84.68,7.04,72.28,55.91,203.91250000000002,0,0
242,1.686,57.49,14.82,50,1018,33.16,6.53,76.95,30.07,96.92814,0,0
243,0.66,46.64,14.88,531,494,28.11,4.54,72.29,84.83,30.782400000000003,1,0
244,3.016,61.48,22.02,138,2089,70.45,6.19,73.25,61.22,185.42368,1,0
245,1.745,65.8,17.71,276,820,78.14,6.55,70.45,62.28,114.821,0,0
246,1.855,48.12,13.67,586,554,24.24,5.8,81.68,39.92,89.26259999999999,1,0
247,1.97,57.94,11.5,440,1028,36.08,4.55,69.87,53.76,114.14179999999999,1,0
248,1.984,66.07,18.3,487,2922,62.98,6.22,76.58,42.05,131.08288,2,0
249,2.181,40.71,18.29,70,2104,25.03,4.77,66.15,42.04,88.78851,1,0
250,2.501,61.84,23.83,699,1808,53.92,3.79,70.96,60.11,154.66184,1,0
251,2.663,59.12,24.1,59,2172,58.57,6.9,82.27,43.25,157.43656,1,0
252,3.139,76.83,25.24,511,2080,93.74,6.61,75.82,66.66,241.16937,3,0
253,1.87,60.27,12.79,460,1831,45.25,6.66,64.96,50.71,112.70490000000001,1,1
254,2.751,50.62,15.64,297,3073,33.49,5.19,67.1,50.72,139.25562,1,0
255,1.69,50.92,16.74,603,2673,20.6,6.46,79.9,68.62,86.0548,2,0
256,1.101,70.68,20.23,642,700,29.73,7.02,72.13,66.89,77.81868,1,0
257,3.478,55.92,20.97,50,2988,80.07,8.41,71.14,52.2,194.48976000000002,1,0
258,2.687,62.43,13.79,689,664,55.59,7.03,68.35,81.15,167.74940999999998,1,0
259,2.105,51.92,22.34,173,312,35.9,6.32,70.45,48.05,109.2916,0,0
260,2.809,70.71,20.13,569,1553,94.64,4.79,79.35,69.51,198.62439,1,1
261,1.569,69.78,17.41,590,1451,83.0,6.2,68.35,73.65,109.48482,1,0
262,3.17,53.52,19.41,400,2875,29.15,4.08,69.4,42.0,169.6584,1,0
263,1.211,52.59,19.08,621,2546,41.52,4.93,74.72,56.08,63.686490000000006,2,0
264,2.856,57.89,19.16,594,241,87.96,8.73,67.1,31.15,165.33383999999998,1,0
265,3.981,45.36,21.62,376,1835,75.39,5.03,68.02,48.16,180.57816,1,1
266,3.376,61.67,20.81,128,2908,95.64,3.65,72.51,44.85,208.19792,1,0
267,2.362,53.71,15.99,312,2684,26.1,6.74,72.28,72.43,126.86302,1,0
268,3.044,54.26,22.08,648,1842,82.03,5.51,68.32,42.14,165.16744,1,0
269,2.2,37.89,9.47,145,2259,26.11,6.68,74.44,31.4,83.358,1,0
270,3.755,58.44,23.11,719,2063,46.93,4.57,73.71,31.3,219.44219999999999,3,0
271,2.037,61.66,15.58,130,867,80.05,5.79,62.15,72.0,125.60141999999999,0,0
272,2.215,62.82,18.24,478,2073,76.88,7.7,75.98,37.89,139.1463,2,0
273,1.849,44.88,21.29,461,2473,20.17,4.12,69.1,65.42,82.98312,2,0
274,2.77,56.94,18.76,141,233,36.16,5.66,76.3,41.09,157.72379999999998,0,0
275,2.65,58.47,23.3,340,2546,82.29,6.67,82.63,42.19,154.94549999999998,1,0
276,2.068,59.84,9.81,103,934,30.09,4.94,71.69,74.35,123.74912,0,0
277,2.474,47.52,14.79,262,58,46.11,6.25,68.94,67.51,117.56448000000002,0,0
278,2.804,64.44,18.02,690,2764,34.71,5.87,79.18,66.0,180.68975999999998,2,0
279,2.53,64.67,16.47,39,1441,28.92,6.43,67.99,81.08,163.61509999999998,0,0
280,3.66,62.24,26.91,627,1522,86.93,8.58,82.04,77.86,227.79840000000002,2,0
281,2.256,56.68,25.51,487,2290,24.91,8.96,69.77,76.58,127.87007999999999,2,0
282,2.309,64.43,23.18,539,2059,62.88,6.68,68.97,37.49,148.76887000000002,2,0
283,2.914,50.45,19.93,203,2276,75.41,6.12,84.15,39.13,147.0113,1,0
284,2.153,50.11,23.52,683,3450,24.61,6.28,73.87,84.01,107.88683,2,0
285,4.295,59.5,19.39,182,2387,70.67,5.93,80.91,61.71,255.5525,2,0
286,1.556,71.91,6.91,362,197,46.73,4.06,71.71,60.22,111.89196,0,0
287,2.924,49.91,16.64,26,835,86.68,6.31,71.84,57.81,145.93684,0,1
288,1.896,74.08,12.71,639,1657,83.81,7.64,57.34,70.47,140.45568,1,0
289,2.892,59.0,20.72,507,1740,83.51,4.58,77.37,62.71,170.628,1,0
290,2.065,55.3,18.29,117,1337,51.89,4.84,73.95,38.24,114.19449999999999,0,0
291,2.992,70.47,15.05,476,697,85.8,5.66,71.79,35.64,210.84624,1,0
292,2.706,74.01,16.33,131,415,70.4,6.65,75.21,46.66,200.27106,0,0
293,2.868,59.38,12.38,319,554,50.29,8.86,72.5,77.85,170.30184,0,0
294,3.192,62.6,18.34,368,3471,26.45,4.79,67.7,52.12,199.81920000000002,1,1
295,1.831,46.69,13.33,670,1461,25.35,5.86,73.75,77.98,85.48939,1,0
296,2.038,50.29,24.16,239,3510,40.11,5.91,71.06,61.5,102.49101999999999,1,0
297,1.599,43.48,18.88,9,1242,43.97,5.58,75.56,81.12,69.52452,0,0
298,3.009,57.11,29.05,311,1157,94.2,6.38,70.95,78.64,171.84399,1,0
299,3.17,67.52,21.98,667,1802,100.0,5.94,70.07,50.68,214.0384,1,0
300,2.616,56.2,27.87,574,3457,31.49,9.11,69.49,60.31,147.0192,2,1
301,2.752,74.39,23.67,42,2068,95.42,7.35,67.84,69.03,204.72127999999998,1,0
302,3.174,74.73,17.93,38,157,76.52,5.72,69.8,32.51,237.19302000000002,0,0
303,1.393,56.73,29.04,544,1012,59.89,7.52,73.95,38.79,79.02489,2,1
304,3.111,56.68,17.94,519,3580,96.37,6.77,68.64,70.15,176.33148,2,1
305,1.782,68.73,18.32,401,589,77.1,6.34,66.05,80.3,122.47686,1,0
306,2.776,67.4,15.47,63,3056,67.49,5.96,76.22,46.7,187.1024,1,0
307,3.272,57.54,12.35,201,3391,36.76,5.57,71.75,51.67,188.27087999999998,1,0
308,1.747,61.22,9.1,610,805,39.56,4.43,75.75,78.09,106.95134,1,0
